"ID"	"Reason.for.absence"	"Month.of.absence"	"Transportation.expense"	"Distance.from.Residence.to.Work"	"Service.time"	"Age"	"Work.load.Average.day"	"Disciplinary.failure"	"Education"	"Social.drinker"	"Weight"	"Height"	"Body.mass.index"
15	23	4	291	31	12	40	326.452	0	1	1	73	171	25
26	14	8	300	26	13	43	265.615	0	1	1	77	175	25
5	26	7	235	20	13	43	264.604	0	1	1	106	167	38
3	23	11	179	51	18	38	306.345	0	1	1	89	170	31
20	19	4	260	50	11	36	326.452	0	1	1	65	168	23
3	0	6	179	51	18	38	253.957	1	1	1	89	170	31
1	14	12	235	11	14	37	236.629	0	3	0	88	172	29
28	0	10	225	26	9	28	284.853	1	1	0	69	169	24
14	11	11	155	12	14	34	284.031	0	1	1	95	196	25
3	11	9	179	51	18	38	294.217	0	1	1	89	170	31
3	28	11	179	51	18	38	268.519	0	1	1	89	170	31
22	12	1	179	26	9	30	313.532	0	3	0	56	171	19
17	17	3	179	22	17	40	343.253	0	2	0	63	170	22
25	11	10	235	16	8	32	284.853	0	3	0	75	178	25
24	26	10	246	25	16	41	284.853	0	1	1	67	170	23
2	0	4	235	29	12	48	326.452	1	1	0	88	163	33
12	12	2	233	51	1	31	264.249	0	2	1	68	178	21
14	28	4	155	12	14	34	246.288	0	1	1	95	196	25
36	23	8	118	13	18	50	265.615	0	1	1	98	178	31
15	28	9	291	31	12	40	294.217	0	1	1	73	171	25
22	27	1	179	26	9	30	313.532	0	3	0	56	171	19
18	10	5	330	16	4	28	237.656	0	2	0	84	182	25
32	4	10	289	48	29	49	284.853	0	1	0	108	172	36
28	23	12	225	26	9	28	280.549	0	1	0	69	169	24
27	23	1	184	42	7	27	308.593	0	1	0	58	167	21
24	13	4	246	25	16	41	326.452	0	1	1	67	170	23
2	0	6	235	29	12	48	275.089	1	1	0	88	163	33
1	22	7	235	11	14	37	239.554	0	3	0	88	172	29
10	28	11	361	52	3	28	268.519	0	1	1	80	172	27
28	13	4	225	26	9	28	246.288	0	1	0	69	169	24
36	26	1	118	13	18	50	330.061	0	1	1	98	178	31
3	28	4	179	51	18	38	239.409	0	1	1	89	170	31
15	14	9	291	31	12	40	241.476	0	1	1	73	171	25
11	13	5	289	36	13	33	378.884	0	1	1	90	172	30
