"age"	"workclass"	"fntwgt"	"education"	"educationNum"	"maritalStatus"	"occupation"	"relationship"	"race"	"sex"	"capitalGain"	"capitalLoss"	"hoursPerWeek"	"nativeCountry"	"salary"	"salres"
49	"Private"	228583	"HS-grad"	9	"Divorced"	"Other-service"	"Unmarried"	"White"	"Male"	0	0	40	"Columbia"	"<=50K"	0
26	"Private"	403788	"Assoc-acdm"	12	"Never-married"	"Other-service"	"Own-child"	"Black"	"Male"	0	0	40	"United-States"	"<=50K"	0
35	"Private"	407068	"1st-4th"	2	"Married-spouse-absent"	"Other-service"	"Not-in-family"	"White"	"Male"	0	0	40	"Guatemala"	"<=50K"	0
46	"Self-emp-not-inc"	95256	"HS-grad"	9	"Divorced"	"Transport-moving"	"Not-in-family"	"White"	"Male"	0	0	50	"United-States"	"<=50K"	0
25	"Private"	184698	"10th"	6	"Never-married"	"Machine-op-inspct"	"Not-in-family"	"White"	"Male"	0	0	40	"Dominican-Republic"	"<=50K"	0
19	"Private"	236879	"Some-college"	10	"Never-married"	"Exec-managerial"	"Own-child"	"White"	"Female"	0	0	35	"United-States"	"<=50K"	0
23	"Private"	180771	"1st-4th"	2	"Married-civ-spouse"	"Machine-op-inspct"	"Wife"	"Amer-Indian-Eskimo"	"Female"	0	0	35	"Mexico"	"<=50K"	0
44	"Private"	187720	"Assoc-voc"	11	"Never-married"	"Craft-repair"	"Unmarried"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
41	"Private"	66118	"Bachelors"	13	"Divorced"	"Prof-specialty"	"Own-child"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
23	"Self-emp-not-inc"	184370	"HS-grad"	9	"Divorced"	"Other-service"	"Not-in-family"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
39	"Private"	166744	"HS-grad"	9	"Never-married"	"Other-service"	"Own-child"	"White"	"Female"	0	0	38	"United-States"	"<=50K"	0
56	"Self-emp-not-inc"	196307	"Bachelors"	13	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Male"	0	0	20	"United-States"	"<=50K"	0
35	"Self-emp-inc"	82051	"Some-college"	10	"Married-civ-spouse"	"Sales"	"Wife"	"White"	"Female"	0	0	40	"United-States"	"<=50K"	0
24	"Private"	357028	"Some-college"	10	"Never-married"	"Exec-managerial"	"Own-child"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
44	"Private"	171484	"10th"	6	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
20	"Private"	176178	"HS-grad"	9	"Never-married"	"Sales"	"Own-child"	"White"	"Female"	0	0	35	"United-States"	"<=50K"	0
34	"Self-emp-inc"	209538	"Bachelors"	13	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	0	0	50	"United-States"	">50K"	1
32	"Private"	163604	"Masters"	14	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Female"	0	0	20	"United-States"	"<=50K"	0
23	"Private"	188409	"11th"	7	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	4508	0	25	"United-States"	"<=50K"	0
43	"Private"	222971	"5th-6th"	3	"Never-married"	"Machine-op-inspct"	"Unmarried"	"White"	"Female"	0	0	40	"Mexico"	"<=50K"	0
19	"Private"	299050	"11th"	7	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	60	"United-States"	"<=50K"	0
50	"State-gov"	133014	"Assoc-voc"	11	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
47	"Private"	179313	"10th"	6	"Divorced"	"Sales"	"Unmarried"	"White"	"Female"	0	0	30	"United-States"	"<=50K"	0
51	"Private"	143741	"Some-college"	10	"Married-civ-spouse"	"Other-service"	"Wife"	"White"	"Female"	0	0	40	"United-States"	">50K"	1
24	"Private"	208882	"HS-grad"	9	"Never-married"	"Craft-repair"	"Not-in-family"	"Black"	"Male"	0	0	40	"United-States"	"<=50K"	0
32	"Private"	252752	"Masters"	14	"Never-married"	"Exec-managerial"	"Not-in-family"	"White"	"Female"	13550	0	60	"United-States"	">50K"	1
21	"Private"	136610	"12th"	8	"Never-married"	"Handlers-cleaners"	"Own-child"	"White"	"Male"	0	0	32	"United-States"	"<=50K"	0
23	"Private"	211160	"12th"	8	"Married-civ-spouse"	"Handlers-cleaners"	"Own-child"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
34	"Private"	265807	"HS-grad"	9	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	0	2051	55	"United-States"	"<=50K"	0
34	"Self-emp-not-inc"	175697	"Assoc-voc"	11	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	0	0	75	"United-States"	"<=50K"	0
24	"Private"	125031	"HS-grad"	9	"Never-married"	"Handlers-cleaners"	"Other-relative"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
58	"Federal-gov"	72998	"11th"	7	"Divorced"	"Craft-repair"	"Not-in-family"	"Black"	"Female"	14084	0	40	"United-States"	">50K"	1
40	"Local-gov"	63042	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Wife"	"White"	"Female"	0	0	40	"United-States"	">50K"	1
19	"Private"	292590	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Other-relative"	"White"	"Female"	0	0	25	"United-States"	"<=50K"	0
44	"Self-emp-inc"	151089	"HS-grad"	9	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	0	1887	70	"United-States"	">50K"	1
25	"Private"	198870	"Bachelors"	13	"Never-married"	"Adm-clerical"	"Own-child"	"Black"	"Male"	0	0	35	"United-States"	"<=50K"	0
21	"Private"	43475	"HS-grad"	9	"Never-married"	"Protective-serv"	"Not-in-family"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
60	"Private"	205934	"HS-grad"	9	"Separated"	"Other-service"	"Not-in-family"	"White"	"Female"	0	0	25	"United-States"	"<=50K"	0
23	"Private"	194102	"Bachelors"	13	"Never-married"	"Exec-managerial"	"Unmarried"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
52	"Self-emp-not-inc"	283079	"HS-grad"	9	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Male"	0	0	50	"United-States"	"<=50K"	0
51	"Local-gov"	159755	"Masters"	14	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	0	0	40	"United-States"	">50K"	1
52	"Private"	75839	"Some-college"	10	"Married-civ-spouse"	"Tech-support"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
41	"Private"	198196	"HS-grad"	9	"Married-civ-spouse"	"Transport-moving"	"Husband"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
38	"Private"	179488	"Some-college"	10	"Divorced"	"Craft-repair"	"Not-in-family"	"White"	"Male"	0	1741	40	"United-States"	"<=50K"	0
26	"Private"	152240	"Some-college"	10	"Never-married"	"Machine-op-inspct"	"Own-child"	"White"	"Male"	0	0	40	"United-States"	"<=50K"	0
