"age"	"job"	"marital"	"education"	"default"	"balance"	"housing"	"loan"	"contact"	"day"	"month"	"duration"	"campaign"	"pdays"	"previous"	"poutcome"	"y"
60	"retired"	"married"	"secondary"	"no"	938	"no"	"no"	"cellular"	13	"jan"	380	3	-1	0	"unknown"	"yes"
34	"admin."	"married"	"secondary"	"no"	36	"no"	"no"	"cellular"	22	"aug"	192	6	-1	0	"unknown"	"no"
39	"entrepreneur"	"married"	"secondary"	"no"	1261	"yes"	"no"	"unknown"	9	"may"	129	2	-1	0	"unknown"	"no"
50	"management"	"married"	"secondary"	"no"	-1	"no"	"no"	"cellular"	22	"jul"	139	1	-1	0	"unknown"	"no"
43	"technician"	"married"	"tertiary"	"no"	610	"no"	"no"	"cellular"	4	"aug"	454	1	-1	0	"unknown"	"no"
43	"admin."	"married"	"secondary"	"no"	672	"yes"	"no"	"unknown"	20	"jun"	14	6	-1	0	"unknown"	"no"
32	"technician"	"divorced"	"secondary"	"no"	210	"yes"	"yes"	"unknown"	7	"may"	188	2	-1	0	"unknown"	"no"
58	"entrepreneur"	"married"	"secondary"	"no"	496	"no"	"no"	"cellular"	22	"apr"	132	1	-1	0	"unknown"	"yes"
48	"blue-collar"	"single"	"secondary"	"no"	574	"no"	"no"	"cellular"	12	"may"	328	2	-1	0	"unknown"	"no"
37	"blue-collar"	"single"	"secondary"	"no"	415	"no"	"no"	"unknown"	18	"jun"	203	1	-1	0	"unknown"	"no"
43	"housemaid"	"married"	"secondary"	"no"	1476	"no"	"no"	"unknown"	12	"jun"	216	2	-1	0	"unknown"	"no"
42	"admin."	"married"	"secondary"	"no"	534	"yes"	"no"	"unknown"	16	"may"	139	2	-1	0	"unknown"	"no"
31	"services"	"married"	"secondary"	"no"	37	"yes"	"no"	"unknown"	14	"may"	546	1	-1	0	"unknown"	"no"
42	"blue-collar"	"married"	"secondary"	"no"	333	"yes"	"no"	"unknown"	9	"may"	190	3	-1	0	"unknown"	"no"
33	"management"	"married"	"tertiary"	"no"	1138	"no"	"no"	"cellular"	28	"aug"	73	4	-1	0	"unknown"	"no"
36	"admin."	"married"	"secondary"	"no"	1601	"yes"	"no"	"unknown"	23	"may"	163	3	-1	0	"unknown"	"no"
35	"blue-collar"	"single"	"primary"	"no"	-759	"yes"	"no"	"cellular"	31	"jul"	142	2	-1	0	"unknown"	"no"
34	"admin."	"married"	"secondary"	"no"	0	"yes"	"no"	"cellular"	15	"may"	78	2	-1	0	"unknown"	"no"
39	"blue-collar"	"single"	"primary"	"no"	267	"no"	"no"	"cellular"	18	"nov"	322	1	-1	0	"unknown"	"no"
57	"management"	"married"	"tertiary"	"no"	101	"no"	"yes"	"cellular"	23	"jul"	99	2	-1	0	"unknown"	"no"
42	"technician"	"married"	"secondary"	"no"	758	"yes"	"no"	"cellular"	15	"jul"	129	4	-1	0	"unknown"	"no"
37	"management"	"married"	"tertiary"	"no"	1060	"no"	"no"	"cellular"	20	"nov"	125	3	-1	0	"unknown"	"no"
35	"blue-collar"	"single"	"tertiary"	"no"	573	"no"	"no"	"unknown"	30	"may"	116	3	-1	0	"unknown"	"no"
36	"blue-collar"	"married"	"primary"	"no"	250	"yes"	"no"	"unknown"	8	"may"	149	1	-1	0	"unknown"	"no"
42	"blue-collar"	"married"	"unknown"	"no"	524	"no"	"no"	"unknown"	17	"jun"	220	1	-1	0	"unknown"	"no"
53	"unknown"	"married"	"unknown"	"no"	1347	"no"	"no"	"unknown"	5	"jun"	92	2	-1	0	"unknown"	"no"
36	"blue-collar"	"single"	"secondary"	"no"	1168	"yes"	"no"	"unknown"	23	"may"	242	3	-1	0	"unknown"	"no"
49	"entrepreneur"	"married"	"secondary"	"no"	2655	"no"	"no"	"cellular"	17	"nov"	63	1	-1	0	"unknown"	"no"
27	"services"	"single"	"secondary"	"no"	339	"no"	"no"	"cellular"	4	"jun"	182	1	-1	0	"unknown"	"yes"
52	"technician"	"married"	"secondary"	"no"	-240	"no"	"no"	"cellular"	19	"aug"	392	3	-1	0	"unknown"	"no"
34	"technician"	"married"	"secondary"	"no"	479	"no"	"no"	"cellular"	26	"aug"	65	2	-1	0	"unknown"	"no"
31	"management"	"married"	"tertiary"	"no"	2937	"yes"	"no"	"cellular"	4	"feb"	173	1	-1	0	"unknown"	"no"
40	"management"	"married"	"secondary"	"no"	754	"no"	"yes"	"cellular"	6	"apr"	635	1	-1	0	"unknown"	"yes"
50	"self-employed"	"divorced"	"tertiary"	"no"	59	"yes"	"no"	"unknown"	28	"may"	67	2	-1	0	"unknown"	"no"
38	"management"	"single"	"tertiary"	"no"	2357	"yes"	"no"	"cellular"	21	"jul"	184	1	-1	0	"unknown"	"no"
26	"admin."	"divorced"	"secondary"	"no"	-45	"yes"	"no"	"unknown"	4	"jun"	357	2	-1	0	"unknown"	"no"
40	"blue-collar"	"single"	"unknown"	"no"	1074	"yes"	"no"	"cellular"	18	"may"	504	1	-1	0	"unknown"	"no"
44	"technician"	"married"	"secondary"	"no"	566	"yes"	"yes"	"cellular"	17	"apr"	467	1	-1	0	"unknown"	"no"
42	"technician"	"married"	"secondary"	"no"	420	"yes"	"no"	"unknown"	8	"may"	94	1	-1	0	"unknown"	"no"
59	"retired"	"married"	"primary"	"no"	413	"yes"	"yes"	"cellular"	9	"feb"	109	5	-1	0	"unknown"	"no"
41	"technician"	"married"	"secondary"	"no"	1385	"no"	"no"	"unknown"	17	"jun"	145	1	-1	0	"unknown"	"no"
37	"blue-collar"	"single"	"primary"	"no"	554	"yes"	"no"	"cellular"	30	"jul"	74	3	-1	0	"unknown"	"no"
42	"blue-collar"	"married"	"secondary"	"no"	525	"yes"	"no"	"unknown"	20	"jun"	10	6	-1	0	"unknown"	"no"
33	"management"	"divorced"	"tertiary"	"no"	387	"no"	"no"	"cellular"	6	"feb"	17	5	-1	0	"unknown"	"no"
32	"management"	"married"	"tertiary"	"no"	1683	"yes"	"yes"	"cellular"	20	"apr"	72	2	-1	0	"unknown"	"no"
26	"student"	"single"	"unknown"	"no"	826	"no"	"no"	"cellular"	29	"jan"	177	1	-1	0	"unknown"	"no"
32	"admin."	"married"	"tertiary"	"no"	0	"yes"	"no"	"cellular"	21	"nov"	102	1	-1	0	"unknown"	"no"
31	"technician"	"married"	"secondary"	"no"	503	"no"	"no"	"cellular"	20	"nov"	178	1	-1	0	"unknown"	"no"
42	"management"	"married"	"secondary"	"no"	0	"no"	"no"	"cellular"	30	"jul"	458	3	-1	0	"unknown"	"no"
32	"blue-collar"	"single"	"secondary"	"no"	1047	"no"	"no"	"cellular"	21	"nov"	89	2	-1	0	"unknown"	"no"
36	"management"	"married"	"tertiary"	"no"	669	"no"	"no"	"unknown"	9	"jun"	91	1	-1	0	"unknown"	"no"
46	"management"	"married"	"tertiary"	"no"	0	"no"	"no"	"cellular"	15	"jun"	83	4	-1	0	"unknown"	"no"
29	"admin."	"married"	"tertiary"	"no"	238	"no"	"no"	"cellular"	26	"feb"	79	1	-1	0	"unknown"	"no"
37	"self-employed"	"single"	"tertiary"	"no"	1116	"no"	"no"	"unknown"	17	"jun"	184	1	-1	0	"unknown"	"no"
41	"blue-collar"	"married"	"primary"	"no"	1820	"yes"	"no"	"telephone"	21	"nov"	25	3	-1	0	"unknown"	"no"
41	"admin."	"single"	"secondary"	"no"	400	"yes"	"no"	"unknown"	4	"jun"	99	6	-1	0	"unknown"	"no"
35	"blue-collar"	"single"	"primary"	"no"	1284	"yes"	"no"	"telephone"	14	"may"	13	5	-1	0	"unknown"	"no"
36	"self-employed"	"single"	"secondary"	"no"	1173	"yes"	"yes"	"unknown"	20	"jun"	50	5	-1	0	"unknown"	"no"
33	"blue-collar"	"married"	"primary"	"no"	332	"yes"	"no"	"unknown"	6	"may"	116	2	-1	0	"unknown"	"no"
46	"blue-collar"	"married"	"primary"	"no"	2499	"yes"	"no"	"unknown"	16	"may"	42	3	-1	0	"unknown"	"no"
47	"services"	"divorced"	"secondary"	"no"	691	"no"	"no"	"cellular"	6	"feb"	285	6	-1	0	"unknown"	"no"
45	"blue-collar"	"married"	"secondary"	"no"	333	"no"	"yes"	"cellular"	6	"aug"	166	2	-1	0	"unknown"	"no"
51	"blue-collar"	"married"	"secondary"	"no"	22	"yes"	"yes"	"unknown"	9	"may"	178	1	-1	0	"unknown"	"no"
51	"blue-collar"	"divorced"	"primary"	"no"	37	"yes"	"no"	"cellular"	13	"may"	341	1	-1	0	"unknown"	"no"
51	"management"	"married"	"tertiary"	"no"	401	"no"	"no"	"cellular"	19	"aug"	80	6	-1	0	"unknown"	"no"
29	"admin."	"single"	"secondary"	"no"	266	"yes"	"no"	"cellular"	6	"may"	540	1	-1	0	"unknown"	"yes"
28	"entrepreneur"	"single"	"tertiary"	"no"	16	"no"	"no"	"cellular"	5	"feb"	48	1	-1	0	"unknown"	"no"
42	"blue-collar"	"married"	"secondary"	"no"	1307	"yes"	"no"	"unknown"	30	"may"	135	3	-1	0	"unknown"	"no"
24	"technician"	"single"	"secondary"	"no"	-192	"yes"	"no"	"unknown"	13	"may"	125	1	-1	0	"unknown"	"no"
54	"technician"	"married"	"secondary"	"no"	473	"no"	"yes"	"cellular"	13	"aug"	112	1	-1	0	"unknown"	"no"
26	"technician"	"single"	"secondary"	"no"	-859	"yes"	"no"	"unknown"	19	"jun"	297	1	-1	0	"unknown"	"no"
32	"self-employed"	"single"	"secondary"	"no"	123	"yes"	"no"	"unknown"	9	"may"	278	1	-1	0	"unknown"	"no"
35	"services"	"married"	"secondary"	"no"	52	"yes"	"no"	"cellular"	2	"mar"	378	4	-1	0	"unknown"	"yes"
30	"blue-collar"	"married"	"secondary"	"no"	68	"yes"	"yes"	"unknown"	16	"may"	393	2	-1	0	"unknown"	"no"
45	"unemployed"	"divorced"	"secondary"	"no"	728	"yes"	"yes"	"cellular"	18	"nov"	107	1	-1	0	"unknown"	"no"
45	"management"	"married"	"tertiary"	"no"	1493	"no"	"no"	"unknown"	16	"jun"	140	3	-1	0	"unknown"	"no"
43	"management"	"married"	"secondary"	"no"	-26	"yes"	"no"	"unknown"	16	"may"	343	1	-1	0	"unknown"	"no"
55	"technician"	"married"	"secondary"	"no"	176	"yes"	"no"	"cellular"	28	"jul"	106	2	-1	0	"unknown"	"no"
35	"services"	"married"	"secondary"	"no"	868	"no"	"no"	"cellular"	6	"feb"	36	1	-1	0	"unknown"	"no"
26	"admin."	"single"	"secondary"	"no"	0	"yes"	"no"	"cellular"	18	"jul"	142	1	-1	0	"unknown"	"no"
49	"blue-collar"	"married"	"primary"	"no"	0	"yes"	"yes"	"telephone"	23	"jul"	97	6	-1	0	"unknown"	"no"
42	"unemployed"	"divorced"	"primary"	"no"	1699	"no"	"yes"	"cellular"	17	"jul"	207	2	-1	0	"unknown"	"no"
