"age"	"marital"	"education"	"default"	"balance"	"housing"	"loan"	"day"	"duration"	"campaign"	"y"
24	"single"	"tertiary"	"no"	1	"no"	"no"	14	396	5	"yes"
46	"divorced"	"secondary"	"no"	-90	"no"	"yes"	17	270	1	"yes"
37	"married"	"secondary"	"no"	775	"no"	"no"	14	150	2	"yes"
42	"married"	"tertiary"	"no"	294	"no"	"no"	26	513	1	"yes"
46	"married"	"primary"	"no"	977	"no"	"yes"	2	436	3	"yes"
38	"married"	"primary"	"no"	196	"no"	"no"	30	574	1	"yes"
20	"single"	"secondary"	"no"	502	"no"	"no"	30	261	1	"yes"
35	"married"	"secondary"	"no"	52	"yes"	"no"	2	378	4	"yes"
63	"married"	"tertiary"	"no"	-39	"no"	"no"	1	387	2	"yes"
43	"married"	"tertiary"	"no"	1059	"no"	"yes"	1	335	2	"yes"
40	"married"	"tertiary"	"no"	1855	"no"	"no"	8	78	6	"yes"
30	"single"	"secondary"	"no"	915	"yes"	"no"	27	370	1	"yes"
32	"single"	"tertiary"	"no"	819	"yes"	"no"	20	114	2	"yes"
29	"single"	"secondary"	"no"	316	"yes"	"no"	3	156	1	"yes"
60	"single"	"tertiary"	"no"	1034	"yes"	"no"	7	231	3	"yes"
25	"single"	"secondary"	"no"	82	"no"	"yes"	7	104	2	"yes"
31	"single"	"tertiary"	"no"	924	"no"	"no"	27	172	1	"yes"
39	"married"	"secondary"	"no"	462	"yes"	"no"	13	590	1	"yes"
31	"married"	"tertiary"	"no"	168	"no"	"no"	4	193	2	"yes"
29	"single"	"secondary"	"no"	2	"yes"	"yes"	21	379	5	"yes"
60	"married"	"secondary"	"no"	938	"no"	"no"	13	380	3	"yes"
30	"single"	"tertiary"	"no"	432	"yes"	"no"	2	402	1	"yes"
45	"married"	"tertiary"	"no"	242	"no"	"no"	30	587	1	"yes"
27	"single"	"secondary"	"no"	339	"no"	"no"	4	182	1	"yes"
29	"single"	"tertiary"	"no"	3041	"yes"	"no"	8	606	3	"yes"
29	"single"	"tertiary"	"no"	1669	"no"	"no"	3	297	1	"yes"
36	"married"	"tertiary"	"no"	341	"no"	"no"	13	282	1	"yes"
30	"single"	"tertiary"	"no"	232	"no"	"no"	15	141	1	"yes"
34	"married"	"tertiary"	"no"	0	"no"	"no"	28	155	2	"yes"
60	"married"	"secondary"	"no"	1740	"no"	"no"	13	296	2	"yes"
29	"married"	"secondary"	"no"	714	"yes"	"yes"	13	482	2	"yes"
59	"married"	"secondary"	"no"	493	"no"	"no"	30	237	1	"yes"
23	"single"	"secondary"	"no"	1809	"no"	"no"	8	414	2	"yes"
34	"married"	"tertiary"	"no"	611	"no"	"no"	2	350	1	"yes"
61	"married"	"primary"	"no"	197	"no"	"no"	17	113	1	"yes"
37	"single"	"tertiary"	"no"	1188	"no"	"no"	24	310	1	"yes"
37	"married"	"secondary"	"no"	466	"yes"	"yes"	25	377	1	"yes"
46	"married"	"secondary"	"no"	926	"no"	"no"	7	385	5	"yes"
25	"single"	"tertiary"	"no"	343	"no"	"no"	1	377	1	"yes"
40	"married"	"tertiary"	"no"	0	"yes"	"no"	25	506	2	"yes"
43	"divorced"	"secondary"	"no"	1040	"yes"	"no"	19	552	3	"yes"
61	"divorced"	"secondary"	"no"	927	"no"	"no"	30	427	3	"yes"
54	"divorced"	"secondary"	"no"	200	"no"	"no"	3	170	1	"yes"
25	"married"	"tertiary"	"no"	2551	"no"	"no"	28	400	3	"yes"
55	"married"	"unknown"	"no"	1504	"yes"	"no"	22	338	2	"yes"
26	"single"	"tertiary"	"no"	1134	"no"	"no"	21	464	4	"yes"
53	"divorced"	"primary"	"no"	-291	"yes"	"yes"	7	591	1	"yes"
68	"married"	"primary"	"no"	451	"no"	"no"	5	373	1	"yes"
37	"single"	"tertiary"	"no"	0	"yes"	"no"	23	366	6	"yes"
22	"single"	"tertiary"	"no"	104	"no"	"yes"	16	330	3	"yes"
28	"single"	"tertiary"	"no"	890	"yes"	"no"	7	201	1	"yes"
