"age"	"job"	"marital"	"education"	"default"	"balance"	"housing"	"loan"	"contact"	"day"	"month"	"duration"	"campaign"	"y"
39	"entrepreneur"	"married"	"secondary"	"no"	1261	"yes"	"no"	"unknown"	9	"may"	129	2	"no"
43	"technician"	"married"	"tertiary"	"no"	610	"no"	"no"	"cellular"	4	"aug"	454	1	"no"
43	"admin."	"married"	"secondary"	"no"	672	"yes"	"no"	"unknown"	20	"jun"	14	6	"no"
43	"housemaid"	"married"	"secondary"	"no"	1476	"no"	"no"	"unknown"	12	"jun"	216	2	"no"
42	"admin."	"married"	"secondary"	"no"	534	"yes"	"no"	"unknown"	16	"may"	139	2	"no"
42	"blue-collar"	"married"	"secondary"	"no"	333	"yes"	"no"	"unknown"	9	"may"	190	3	"no"
57	"management"	"married"	"tertiary"	"no"	101	"no"	"yes"	"cellular"	23	"jul"	99	2	"no"
34	"technician"	"married"	"secondary"	"no"	479	"no"	"no"	"cellular"	26	"aug"	65	2	"no"
50	"self-employed"	"divorced"	"tertiary"	"no"	59	"yes"	"no"	"unknown"	28	"may"	67	2	"no"
59	"retired"	"married"	"primary"	"no"	413	"yes"	"yes"	"cellular"	9	"feb"	109	5	"no"
26	"student"	"single"	"unknown"	"no"	826	"no"	"no"	"cellular"	29	"jan"	177	1	"no"
32	"blue-collar"	"single"	"secondary"	"no"	1047	"no"	"no"	"cellular"	21	"nov"	89	2	"no"
29	"admin."	"married"	"tertiary"	"no"	238	"no"	"no"	"cellular"	26	"feb"	79	1	"no"
42	"blue-collar"	"married"	"secondary"	"no"	1307	"yes"	"no"	"unknown"	30	"may"	135	3	"no"
26	"technician"	"single"	"secondary"	"no"	-859	"yes"	"no"	"unknown"	19	"jun"	297	1	"no"
42	"unemployed"	"divorced"	"primary"	"no"	1699	"no"	"yes"	"cellular"	17	"jul"	207	2	"no"
49	"blue-collar"	"divorced"	"primary"	"no"	2262	"yes"	"no"	"unknown"	21	"may"	125	3	"no"
33	"services"	"divorced"	"secondary"	"no"	90	"yes"	"no"	"cellular"	18	"may"	114	2	"no"
41	"management"	"married"	"tertiary"	"no"	1204	"yes"	"yes"	"cellular"	13	"may"	310	2	"no"
56	"management"	"married"	"primary"	"no"	31	"yes"	"no"	"cellular"	12	"may"	215	2	"no"
48	"technician"	"married"	"secondary"	"no"	0	"no"	"no"	"cellular"	28	"jan"	142	1	"no"
47	"admin."	"married"	"secondary"	"no"	310	"yes"	"yes"	"telephone"	14	"aug"	128	6	"no"
53	"unknown"	"married"	"unknown"	"no"	13	"no"	"no"	"telephone"	28	"jan"	69	1	"no"
30	"technician"	"single"	"secondary"	"no"	853	"no"	"no"	"cellular"	3	"jun"	343	1	"no"
41	"admin."	"single"	"secondary"	"yes"	0	"no"	"yes"	"cellular"	21	"nov"	305	6	"no"
29	"management"	"married"	"tertiary"	"no"	1258	"yes"	"no"	"cellular"	29	"jan"	287	1	"no"
43	"blue-collar"	"married"	"secondary"	"no"	-210	"yes"	"no"	"cellular"	17	"nov"	523	2	"no"
52	"admin."	"married"	"secondary"	"no"	192	"no"	"yes"	"unknown"	26	"jun"	93	1	"no"
32	"technician"	"married"	"secondary"	"no"	163	"yes"	"yes"	"cellular"	28	"jul"	73	3	"no"
33	"admin."	"single"	"secondary"	"no"	206	"no"	"no"	"telephone"	13	"nov"	168	1	"no"
30	"management"	"single"	"secondary"	"no"	460	"yes"	"no"	"cellular"	18	"nov"	86	1	"no"
34	"management"	"married"	"tertiary"	"no"	0	"no"	"no"	"cellular"	2	"feb"	327	1	"no"
22	"blue-collar"	"single"	"secondary"	"no"	-189	"yes"	"no"	"unknown"	30	"may"	59	3	"no"
45	"admin."	"married"	"secondary"	"no"	985	"yes"	"no"	"unknown"	13	"may"	390	1	"no"
59	"technician"	"married"	"secondary"	"no"	1139	"no"	"no"	"cellular"	14	"jul"	607	2	"no"
34	"management"	"married"	"tertiary"	"no"	0	"no"	"yes"	"cellular"	14	"jul"	105	3	"no"
42	"blue-collar"	"married"	"secondary"	"no"	1468	"yes"	"no"	"unknown"	28	"may"	136	1	"no"
50	"admin."	"married"	"secondary"	"no"	0	"no"	"no"	"cellular"	4	"aug"	86	4	"no"
57	"technician"	"married"	"tertiary"	"no"	31	"no"	"yes"	"cellular"	26	"aug"	395	2	"no"
37	"blue-collar"	"married"	"primary"	"no"	1160	"yes"	"no"	"unknown"	9	"may"	255	2	"no"
31	"technician"	"single"	"secondary"	"no"	826	"yes"	"no"	"cellular"	12	"aug"	246	2	"no"
34	"admin."	"single"	"secondary"	"no"	407	"no"	"no"	"cellular"	29	"jan"	407	1	"no"
39	"entrepreneur"	"married"	"tertiary"	"no"	350	"yes"	"no"	"cellular"	24	"jul"	230	2	"no"
48	"blue-collar"	"married"	"secondary"	"no"	205	"no"	"no"	"cellular"	7	"aug"	239	2	"no"
41	"blue-collar"	"single"	"primary"	"no"	22	"yes"	"no"	"unknown"	14	"may"	152	1	"no"
42	"admin."	"married"	"secondary"	"no"	0	"yes"	"yes"	"cellular"	20	"apr"	58	4	"no"
37	"blue-collar"	"married"	"secondary"	"no"	166	"yes"	"no"	"unknown"	13	"may"	135	3	"no"
31	"blue-collar"	"single"	"secondary"	"no"	823	"no"	"no"	"unknown"	26	"may"	174	3	"no"
45	"admin."	"married"	"secondary"	"no"	335	"no"	"no"	"cellular"	9	"jul"	89	3	"no"
31	"management"	"single"	"tertiary"	"no"	3142	"yes"	"no"	"cellular"	18	"jul"	164	1	"no"
27	"services"	"married"	"secondary"	"no"	15	"yes"	"no"	"unknown"	16	"may"	167	1	"no"
37	"entrepreneur"	"married"	"tertiary"	"no"	555	"no"	"no"	"cellular"	7	"jul"	104	2	"no"
39	"blue-collar"	"married"	"secondary"	"no"	1309	"no"	"yes"	"telephone"	10	"jul"	37	1	"no"
50	"services"	"married"	"secondary"	"no"	128	"no"	"no"	"cellular"	19	"aug"	173	1	"no"
37	"self-employed"	"married"	"tertiary"	"no"	144	"yes"	"no"	"unknown"	5	"jun"	247	2	"no"
50	"blue-collar"	"divorced"	"secondary"	"no"	571	"yes"	"no"	"unknown"	2	"jun"	88	4	"no"
30	"services"	"married"	"secondary"	"no"	1399	"no"	"no"	"cellular"	28	"jul"	168	6	"no"
48	"blue-collar"	"married"	"primary"	"no"	-254	"no"	"yes"	"cellular"	29	"aug"	134	4	"no"
51	"technician"	"married"	"secondary"	"no"	113	"no"	"no"	"cellular"	19	"nov"	193	1	"no"
46	"services"	"married"	"unknown"	"no"	72	"yes"	"no"	"cellular"	15	"may"	165	3	"no"
33	"admin."	"divorced"	"tertiary"	"no"	891	"no"	"no"	"cellular"	8	"may"	398	2	"yes"
43	"technician"	"married"	"secondary"	"no"	1824	"yes"	"no"	"unknown"	8	"may"	296	1	"no"
56	"management"	"divorced"	"tertiary"	"no"	659	"no"	"yes"	"cellular"	2	"jun"	56	1	"no"
27	"blue-collar"	"married"	"secondary"	"no"	102	"no"	"yes"	"cellular"	7	"jul"	159	2	"no"
43	"blue-collar"	"married"	"secondary"	"no"	664	"yes"	"no"	"unknown"	12	"jun"	354	1	"no"
57	"admin."	"married"	"secondary"	"no"	2518	"yes"	"no"	"cellular"	11	"jul"	82	2	"no"
51	"technician"	"married"	"tertiary"	"no"	1315	"no"	"no"	"telephone"	5	"jun"	303	2	"no"
35	"technician"	"married"	"secondary"	"no"	291	"no"	"no"	"unknown"	23	"may"	100	1	"no"
56	"blue-collar"	"married"	"primary"	"no"	187	"yes"	"no"	"cellular"	23	"jul"	156	2	"no"
22	"student"	"single"	"secondary"	"no"	23	"no"	"no"	"cellular"	27	"oct"	137	1	"yes"
36	"admin."	"divorced"	"secondary"	"no"	0	"no"	"no"	"unknown"	11	"jun"	203	3	"no"
41	"technician"	"married"	"secondary"	"no"	1788	"no"	"no"	"cellular"	28	"aug"	222	1	"no"
40	"technician"	"married"	"secondary"	"no"	1076	"no"	"no"	"cellular"	7	"aug"	326	2	"no"
56	"retired"	"married"	"primary"	"no"	334	"no"	"no"	"cellular"	6	"aug"	128	2	"no"
24	"admin."	"single"	"tertiary"	"no"	106	"no"	"yes"	"cellular"	15	"jun"	77	1	"no"
40	"technician"	"single"	"secondary"	"no"	374	"yes"	"yes"	"cellular"	11	"may"	274	1	"no"
32	"technician"	"single"	"secondary"	"no"	40	"no"	"no"	"cellular"	8	"aug"	419	2	"yes"
31	"technician"	"married"	"secondary"	"no"	30	"no"	"no"	"telephone"	11	"aug"	133	5	"no"
28	"student"	"single"	"secondary"	"no"	330	"no"	"no"	"telephone"	2	"feb"	197	1	"no"
56	"blue-collar"	"married"	"primary"	"no"	0	"yes"	"no"	"cellular"	17	"jul"	82	1	"no"
25	"self-employed"	"single"	"tertiary"	"no"	42	"yes"	"no"	"cellular"	3	"mar"	320	1	"yes"
27	"unemployed"	"single"	"primary"	"no"	223	"no"	"no"	"cellular"	26	"may"	103	1	"no"
51	"technician"	"married"	"secondary"	"no"	2682	"no"	"no"	"unknown"	18	"jun"	56	1	"no"
49	"unemployed"	"married"	"secondary"	"no"	136	"no"	"yes"	"cellular"	22	"jul"	246	1	"no"
47	"blue-collar"	"married"	"primary"	"no"	94	"yes"	"no"	"unknown"	9	"may"	209	3	"no"
