"age"	"job"	"marital"	"education"	"default"	"balance"	"housing"	"loan"	"contact"	"day"	"month"	"duration"	"campaign"	"y"
36	"technician"	"single"	"secondary"	"no"	524	"yes"	"no"	"cellular"	8	"apr"	95	1	"no"
28	"admin."	"single"	"tertiary"	"no"	422	"yes"	"no"	"unknown"	9	"may"	274	1	"no"
48	"technician"	"married"	"secondary"	"no"	1526	"no"	"no"	"cellular"	6	"aug"	273	2	"no"
49	"blue-collar"	"married"	"primary"	"no"	67	"no"	"yes"	"cellular"	13	"aug"	269	4	"no"
49	"admin."	"married"	"secondary"	"no"	326	"yes"	"no"	"unknown"	7	"may"	99	2	"no"
56	"self-employed"	"married"	"unknown"	"no"	7	"no"	"no"	"unknown"	6	"may"	305	2	"no"
55	"housemaid"	"single"	"primary"	"no"	0	"no"	"no"	"unknown"	5	"jun"	247	1	"no"
48	"management"	"married"	"tertiary"	"no"	2218	"yes"	"no"	"unknown"	13	"may"	43	2	"no"
32	"entrepreneur"	"married"	"tertiary"	"no"	721	"yes"	"no"	"cellular"	15	"may"	128	1	"no"
45	"management"	"married"	"secondary"	"no"	315	"yes"	"no"	"cellular"	4	"aug"	154	2	"no"
33	"technician"	"married"	"secondary"	"no"	-89	"no"	"yes"	"cellular"	4	"aug"	410	4	"no"
31	"services"	"single"	"secondary"	"no"	831	"yes"	"no"	"cellular"	21	"nov"	106	2	"no"
44	"blue-collar"	"married"	"secondary"	"no"	406	"yes"	"no"	"unknown"	4	"jun"	222	1	"no"
34	"management"	"married"	"secondary"	"no"	42	"no"	"no"	"cellular"	22	"aug"	82	3	"no"
34	"entrepreneur"	"divorced"	"tertiary"	"no"	262	"no"	"no"	"cellular"	20	"nov"	371	1	"no"
49	"management"	"married"	"tertiary"	"no"	1430	"no"	"no"	"cellular"	18	"nov"	231	2	"no"
38	"blue-collar"	"married"	"primary"	"no"	290	"yes"	"no"	"cellular"	16	"apr"	283	1	"no"
52	"technician"	"divorced"	"secondary"	"no"	511	"no"	"yes"	"cellular"	20	"aug"	98	4	"no"
34	"management"	"single"	"primary"	"no"	212	"no"	"no"	"unknown"	27	"may"	88	1	"no"
55	"services"	"divorced"	"secondary"	"no"	91	"no"	"no"	"unknown"	5	"may"	349	1	"no"
55	"services"	"married"	"secondary"	"no"	1150	"no"	"yes"	"cellular"	23	"jul"	218	3	"no"
47	"unknown"	"divorced"	"primary"	"no"	0	"no"	"no"	"cellular"	7	"jul"	240	1	"no"
53	"blue-collar"	"married"	"primary"	"no"	1294	"no"	"no"	"unknown"	28	"oct"	71	1	"no"
